### CELL 72  |  first line: # 4.4 Re-evaluate the three classifiers on raw degraded vs every enhancer
================================================================================

--- output[0] ---

=== resnet50 ===
  blur/low/raw: acc=0.6205
  blur/low/clahe: acc=0.6591
  blur/low/genai: acc=0.6068
  blur/low/cold_diff: acc=0.6227
  blur/low/swinir_gan: acc=0.6000
  blur/mid/raw: acc=0.6045
  blur/mid/clahe: acc=0.4909
  blur/mid/genai: acc=0.5386
  blur/mid/cold_diff: acc=0.5591
  blur/mid/swinir_gan: acc=0.5250
  blur/high/raw: acc=0.5114
  blur/high/clahe: acc=0.3614
  blur/high/genai: acc=0.4886
  blur/high/cold_diff: acc=0.5455
  blur/high/swinir_gan: acc=0.4909
  exposure/low/raw: acc=0.6386
  exposure/low/clahe: acc=0.6886
  exposure/low/genai: acc=0.6182
  exposure/low/cold_diff: acc=0.6636
  exposure/low/swinir_gan: acc=0.5318
  exposure/mid/raw: acc=0.6114
  exposure/mid/clahe: acc=0.6659
  exposure/mid/genai: acc=0.5705
  exposure/mid/cold_diff: acc=0.6364
  exposure/mid/swinir_gan: acc=0.3955
  exposure/high/raw: acc=0.5591
  exposure/high/clahe: acc=0.6068
  exposure/high/genai: acc=0.5045
  exposure/high/cold_diff: acc=0.6136
  exposure/high/swinir_gan: acc=0.5545
  noise/low/raw: acc=0.5977
  noise/low/clahe: acc=0.6227
  noise/low/genai: acc=0.6364
  noise/low/cold_diff: acc=0.5932
  noise/low/swinir_gan: acc=0.6159
  noise/mid/raw: acc=0.5773
  noise/mid/clahe: acc=0.5136
  noise/mid/genai: acc=0.6045
  noise/mid/cold_diff: acc=0.2795
  noise/mid/swinir_gan: acc=0.5023
  noise/high/raw: acc=0.4091
  noise/high/clahe: acc=0.2682
  noise/high/genai: acc=0.5636
  noise/high/cold_diff: acc=0.0841
  noise/high/swinir_gan: acc=0.1045

=== efficientnet_b3 ===
  blur/low/raw: acc=0.5455
  blur/low/clahe: acc=0.4977
  blur/low/genai: acc=0.5227
  blur/low/cold_diff: acc=0.4977
  blur/low/swinir_gan: acc=0.4955
  blur/mid/raw: acc=0.5114
  blur/mid/clahe: acc=0.4932
  blur/mid/genai: acc=0.5295
  blur/mid/cold_diff: acc=0.4909
  blur/mid/swinir_gan: acc=0.5023
  blur/high/raw: acc=0.4068
  blur/high/clahe: acc=0.4705
