model,degradation,level,variant,accuracy,f1_macro,auc_macro_ovr
resnet50,blur,low,raw,0.6636363636363637,0.3806972787869641,0.8577816798946172
resnet50,blur,low,clahe,0.6659090909090909,0.4151779448621554,0.868691072937995
resnet50,blur,low,genai,0.6613636363636364,0.34542390942390944,0.8368900196547221
resnet50,blur,low,cold_diff,0.6613636363636364,0.3714023724195924,0.8410214629709065
resnet50,blur,low,swinir_gan,0.6022727272727273,0.31721542371889466,0.8176442764853167
resnet50,blur,low,ddpm,0.10681818181818181,0.0886071063048243,0.46634429289584867
resnet50,blur,low,ddpm_path,0.5659090909090909,0.2520939766635131,0.8109582111814376
resnet50,blur,mid,raw,0.5909090909090909,0.29772969119230613,0.8344326536231852
resnet50,blur,mid,clahe,0.6022727272727273,0.3303205134457133,0.7539444673096996
resnet50,blur,mid,genai,0.5477272727272727,0.2332454009142261,0.7895659973063258
resnet50,blur,mid,cold_diff,0.5454545454545454,0.25190491214709243,0.7636520748974236
resnet50,blur,mid,swinir_gan,0.55,0.25662140671461015,0.8135777061559057
resnet50,blur,mid,ddpm,0.09090909090909091,0.07821525501009619,0.4562432570863824
resnet50,blur,mid,ddpm_path,0.5022727272727273,0.1866536382937657,0.7093780409047036
resnet50,blur,high,raw,0.5272727272727272,0.21585733995259604,0.7431345952841807
resnet50,blur,high,clahe,0.46136363636363636,0.21881368162794054,0.6045217804444489
resnet50,blur,high,genai,0.5113636363636364,0.19289413118527043,0.7384186707136241
resnet50,blur,high,cold_diff,0.4659090909090909,0.16695791808010466,0.6463464830473002
resnet50,blur,high,swinir_gan,0.5022727272727273,0.21616483273954032,0.7242747334702593
resnet50,blur,high,ddpm,0.10227272727272728,0.08014311479633662,0.5132276648348835
resnet50,blur,high,ddpm_path,0.47954545454545455,0.16152883515059915,0.696745298619693
resnet50,exposure,low,raw,0.7522727272727273,0.502544946187325,0.8643954002642807
resnet50,exposure,low,clahe,0.7272727272727273,0.490752703389461,0.865918769296148
resnet50,exposure,low,genai,0.6613636363636364,0.39324590997227143,0.8349951876960715
resnet50,exposure,low,cold_diff,0.6636363636363637,0.3782046681486186,0.8488042780633693
resnet50,exposure,low,swinir_gan,0.5431818181818182,0.2895612272738547,0.7523347717612541
resnet50,exposure,low,ddpm,0.12272727272727273,0.10428302692853282,0.4901861743112029
resnet50,exposure,low,ddpm_path,0.6045454545454545,0.3062084105701898,0.8245188600390632
resnet50,exposure,mid,raw,0.7181818181818181,0.4822188626646831,0.8599166805930494
resnet50,exposure,mid,clahe,0.6795454545454546,0.4499965385946695,0.8704357261200288
resnet50,exposure,mid,genai,0.6090909090909091,0.3376427689868105,0.830999845830449
resnet50,exposure,mid,cold_diff,0.6590909090909091,0.37300341191776015,0.8503167455147878
resnet50,exposure,mid,swinir_gan,0.6113636363636363,0.32982133271988345,0.7986080812891136
resnet50,exposure,mid,ddpm,0.11136363636363636,0.09560424134731596,0.503455846203881
resnet50,exposure,mid,ddpm_path,0.5977272727272728,0.29533600812349553,0.8182256399967187
resnet50,exposure,high,raw,0.625,0.37576091648001875,0.8562687697577533
resnet50,exposure,high,clahe,0.6545454545454545,0.41239340139511416,0.8369039067119914
resnet50,exposure,high,genai,0.5568181818181818,0.2661946994901017,0.7753158823594071
resnet50,exposure,high,cold_diff,0.615909090909091,0.33180396415672386,0.8401278864111006
resnet50,exposure,high,swinir_gan,0.5909090909090909,0.3177946427394437,0.8110249573459705
resnet50,exposure,high,ddpm,0.10227272727272728,0.0824507527526028,0.4667548201789512
resnet50,exposure,high,ddpm_path,0.5704545454545454,0.27839874459182534,0.8152731314199319
resnet50,noise,low,raw,0.740909090909091,0.48248113008644317,0.8636228599332523
resnet50,noise,low,clahe,0.7318181818181818,0.49069078471859984,0.8743018762019613
resnet50,noise,low,genai,0.6727272727272727,0.39894391525298895,0.8503377476783436
resnet50,noise,low,cold_diff,0.634090909090909,0.35548864081472775,0.7971246787843957
resnet50,noise,low,swinir_gan,0.6318181818181818,0.35544426069906476,0.8146686824011973
resnet50,noise,low,ddpm,0.08181818181818182,0.067678398450113,0.44568632273224795
resnet50,noise,low,ddpm_path,0.6068181818181818,0.30591788735519254,0.8227586179439399
resnet50,noise,mid,raw,0.7045454545454546,0.41187247386078535,0.8209497501802698
resnet50,noise,mid,clahe,0.6613636363636364,0.3850419384902143,0.8135434085953728
resnet50,noise,mid,genai,0.6318181818181818,0.3553735998943765,0.8177667825723187
resnet50,noise,mid,cold_diff,0.18181818181818182,0.14990748083531588,0.6819344780143431
resnet50,noise,mid,swinir_gan,0.5931818181818181,0.3457757529788912,0.7733569443193251
resnet50,noise,mid,ddpm,0.07045454545454545,0.052500000000000005,0.4552296377803791
resnet50,noise,mid,ddpm_path,0.5727272727272728,0.27033172602887745,0.8091103286570277
resnet50,noise,high,raw,0.21818181818181817,0.1574431253690377,0.7371364178683055
resnet50,noise,high,clahe,0.2772727272727273,0.18592878592878592,0.723351154382302
resnet50,noise,high,genai,0.5568181818181818,0.2562925031734881,0.7877201634554398
resnet50,noise,high,cold_diff,0.08409090909090909,0.060622512879044944,0.6016737878508776
resnet50,noise,high,swinir_gan,0.2545454545454545,0.1987951579089741,0.6569003059607427
resnet50,noise,high,ddpm,0.10227272727272728,0.08145703323083957,0.47954773522972277
resnet50,noise,high,ddpm_path,0.575,0.2989611783957432,0.7939815549851106
efficientnet_b3,blur,low,raw,0.05,0.02,0.59958528557759
efficientnet_b3,blur,low,clahe,0.05227272727272727,0.019913419913419914,0.5542092020798364
efficientnet_b3,blur,low,genai,0.056818181818181816,0.03666666666666667,0.6240693902201337
efficientnet_b3,blur,low,cold_diff,0.05227272727272727,0.02072072072072072,0.5937112676143244
efficientnet_b3,blur,low,swinir_gan,0.05454545454545454,0.028087336244541482,0.5686481689087215
efficientnet_b3,blur,low,ddpm,0.05227272727272727,0.019870410367170625,0.5367208876681662
efficientnet_b3,blur,low,ddpm_path,0.05227272727272727,0.019956616052060738,0.588000556394645
efficientnet_b3,blur,mid,raw,0.05454545454545454,0.03375474083438686,0.5733675556606361
efficientnet_b3,blur,mid,clahe,0.05227272727272727,0.02,0.4930130128814455
efficientnet_b3,blur,mid,genai,0.05909090909090909,0.043660702793152276,0.5370120385728968
efficientnet_b3,blur,mid,cold_diff,0.05227272727272727,0.02017543859649123,0.5455698737081704
efficientnet_b3,blur,mid,swinir_gan,0.05227272727272727,0.019913419913419914,0.5253759774525797
efficientnet_b3,blur,mid,ddpm,0.05227272727272727,0.019870410367170625,0.4831165270361478
efficientnet_b3,blur,mid,ddpm_path,0.05227272727272727,0.019870410367170625,0.5761968655667559
efficientnet_b3,blur,high,raw,0.05909090909090909,0.03929341742430448,0.6144146918235183
efficientnet_b3,blur,high,clahe,0.05227272727272727,0.019870410367170625,0.5338122007554154
efficientnet_b3,blur,high,genai,0.05454545454545454,0.028087336244541482,0.5728296799111916
efficientnet_b3,blur,high,cold_diff,0.05,0.019775280898876403,0.5406903807276833
efficientnet_b3,blur,high,swinir_gan,0.05227272727272727,0.019956616052060738,0.547729620793619
efficientnet_b3,blur,high,ddpm,0.05227272727272727,0.019870410367170625,0.5136564027890813
efficientnet_b3,blur,high,ddpm_path,0.05227272727272727,0.019870410367170625,0.5960892123931467
efficientnet_b3,exposure,low,raw,0.05227272727272727,0.019956616052060738,0.6697763061851868
efficientnet_b3,exposure,low,clahe,0.06136363636363636,0.03312414283978265,0.5849208326506747
efficientnet_b3,exposure,low,genai,0.05227272727272727,0.02013129102844639,0.6285689299369402
efficientnet_b3,exposure,low,cold_diff,0.05227272727272727,0.020353982300884955,0.6095183240218807
efficientnet_b3,exposure,low,swinir_gan,0.05227272727272727,0.020043572984749455,0.4850985077021911
efficientnet_b3,exposure,low,ddpm,0.05227272727272727,0.019870410367170625,0.5207885254530205
efficientnet_b3,exposure,low,ddpm_path,0.05227272727272727,0.019956616052060738,0.6068175928184776
efficientnet_b3,exposure,mid,raw,0.05227272727272727,0.019956616052060738,0.6642225732036401
efficientnet_b3,exposure,mid,clahe,0.045454545454545456,0.017937219730941704,0.6209840076146654
efficientnet_b3,exposure,mid,genai,0.06136363636363636,0.0376308607945585,0.5905763319369074
efficientnet_b3,exposure,mid,cold_diff,0.05227272727272727,0.019913419913419914,0.6164623331540937
efficientnet_b3,exposure,mid,swinir_gan,0.05454545454545454,0.028196785533871484,0.5317011408231325
efficientnet_b3,exposure,mid,ddpm,0.05227272727272727,0.019870410367170625,0.5172033388630293
efficientnet_b3,exposure,mid,ddpm_path,0.05227272727272727,0.019956616052060738,0.6118029302725817
efficientnet_b3,exposure,high,raw,0.056818181818181816,0.02955977615238457,0.6340101428596849
efficientnet_b3,exposure,high,clahe,0.075,0.05897394205921833,0.6070259710828283
efficientnet_b3,exposure,high,genai,0.09772727272727273,0.08420311453811098,0.608686159478866
efficientnet_b3,exposure,high,cold_diff,0.05454545454545454,0.022704995976885377,0.6057018441162406
efficientnet_b3,exposure,high,swinir_gan,0.056818181818181816,0.03651544911989121,0.6083495260772707
efficientnet_b3,exposure,high,ddpm,0.05227272727272727,0.019870410367170625,0.4865907734755838
efficientnet_b3,exposure,high,ddpm_path,0.05227272727272727,0.019870410367170625,0.6222602799154023
efficientnet_b3,noise,low,raw,0.05227272727272727,0.019870410367170625,0.632769873640071
efficientnet_b3,noise,low,clahe,0.05227272727272727,0.019870410367170625,0.6009801235917431
efficientnet_b3,noise,low,genai,0.05227272727272727,0.020043572984749455,0.6357397826633915
efficientnet_b3,noise,low,cold_diff,0.05454545454545454,0.027766950031100975,0.597661226213317
efficientnet_b3,noise,low,swinir_gan,0.05227272727272727,0.019913419913419914,0.5788883879527048
efficientnet_b3,noise,low,ddpm,0.05227272727272727,0.019870410367170625,0.4704674501993836
efficientnet_b3,noise,low,ddpm_path,0.05227272727272727,0.019870410367170625,0.6325856608892376
efficientnet_b3,noise,mid,raw,0.05227272727272727,0.019870410367170625,0.5998679280606269
efficientnet_b3,noise,mid,clahe,0.05227272727272727,0.019870410367170625,0.6376888332395874
efficientnet_b3,noise,mid,genai,0.05454545454545454,0.028609072087332953,0.5986376465520641
efficientnet_b3,noise,mid,cold_diff,0.05227272727272727,0.021749408983451537,0.5597627433362031
efficientnet_b3,noise,mid,swinir_gan,0.05227272727272727,0.019870410367170625,0.5869977007741106
efficientnet_b3,noise,mid,ddpm,0.05227272727272727,0.019870410367170625,0.5126115815080727
efficientnet_b3,noise,mid,ddpm_path,0.05227272727272727,0.019870410367170625,0.6355024356764558
efficientnet_b3,noise,high,raw,0.05227272727272727,0.019870410367170625,0.5734004036853177
efficientnet_b3,noise,high,clahe,0.05227272727272727,0.019870410367170625,0.5707769993693362
efficientnet_b3,noise,high,genai,0.05454545454545454,0.028609072087332953,0.5930409870168993
efficientnet_b3,noise,high,cold_diff,0.05227272727272727,0.019870410367170625,0.49407727059673034
efficientnet_b3,noise,high,swinir_gan,0.05227272727272727,0.019913419913419914,0.5366703632879591
efficientnet_b3,noise,high,ddpm,0.05227272727272727,0.019870410367170625,0.49845317408329565
efficientnet_b3,noise,high,ddpm_path,0.05454545454545454,0.021756737885770143,0.5919553034117937
vit_base,blur,low,raw,0.6090909090909091,0.3718223082223611,0.8427697125574987
vit_base,blur,low,clahe,0.6045454545454545,0.38074357119449953,0.845248793728814
vit_base,blur,low,genai,0.575,0.3333402392957291,0.8486785192274737
vit_base,blur,low,cold_diff,0.5909090909090909,0.3640706457279347,0.8569633449783023
vit_base,blur,low,swinir_gan,0.5613636363636364,0.3236264367780088,0.8143538275337516
vit_base,blur,low,ddpm,0.10227272727272728,0.03711340206185567,0.46472314606361137
vit_base,blur,low,ddpm_path,0.5159090909090909,0.193558277820209,0.8223960312887073
vit_base,blur,mid,raw,0.6386363636363637,0.35324624894491147,0.7629318230779825
vit_base,blur,mid,clahe,0.6409090909090909,0.3260803791304837,0.7006578858911213
vit_base,blur,mid,genai,0.5318181818181819,0.2525500306145467,0.7762030784974671
vit_base,blur,mid,cold_diff,0.5113636363636364,0.2069050803512938,0.7659247772963362
vit_base,blur,mid,swinir_gan,0.5795454545454546,0.27544038758290834,0.7650221795060355
vit_base,blur,mid,ddpm,0.10227272727272728,0.03711340206185567,0.487595993670541
vit_base,blur,mid,ddpm_path,0.49318181818181817,0.1361751094434021,0.6899149794064247
vit_base,blur,high,raw,0.6068181818181818,0.3098834892508297,0.7232403748413504
vit_base,blur,high,clahe,0.5954545454545455,0.3041641987698332,0.6597679130626711
vit_base,blur,high,genai,0.5636363636363636,0.24082601087925407,0.7445835514093984
vit_base,blur,high,cold_diff,0.5022727272727273,0.19372871020648472,0.744524671029185
vit_base,blur,high,swinir_gan,0.5295454545454545,0.21479713505690415,0.7286445880164777
vit_base,blur,high,ddpm,0.10227272727272728,0.03711340206185567,0.49380872311012836
vit_base,blur,high,ddpm_path,0.4863636363636364,0.15452759442367903,0.6849863605198635
vit_base,exposure,low,raw,0.7022727272727273,0.46438354010409305,0.886439450744928
vit_base,exposure,low,clahe,0.6068181818181818,0.4149967806274595,0.893013697888042
vit_base,exposure,low,genai,0.5909090909090909,0.36359464871257324,0.8506569816719016
vit_base,exposure,low,cold_diff,0.6431818181818182,0.42636094194184004,0.8676506642782364
vit_base,exposure,low,swinir_gan,0.55,0.25686830280315504,0.8197723548000291
vit_base,exposure,low,ddpm,0.10227272727272728,0.03711340206185567,0.4598938469309025
vit_base,exposure,low,ddpm_path,0.5522727272727272,0.27658356641249515,0.8524322125362167
vit_base,exposure,mid,raw,0.6522727272727272,0.4303562629503787,0.8763669666422167
vit_base,exposure,mid,clahe,0.5795454545454546,0.36827149693767225,0.8680219801294424
vit_base,exposure,mid,genai,0.5477272727272727,0.28224796791076895,0.824306144781558
vit_base,exposure,mid,cold_diff,0.615909090909091,0.38783108003971056,0.8576561002996594
vit_base,exposure,mid,swinir_gan,0.5636363636363636,0.2571021018782213,0.8223737695832334
vit_base,exposure,mid,ddpm,0.10227272727272728,0.03711340206185567,0.47695089090319065
vit_base,exposure,mid,ddpm_path,0.5477272727272727,0.2532496339047291,0.836888680298294
vit_base,exposure,high,raw,0.5977272727272728,0.3729287439613526,0.8513311060506977
vit_base,exposure,high,clahe,0.55,0.2884387176381952,0.8254090228213304
vit_base,exposure,high,genai,0.5318181818181819,0.2321846558384483,0.8044804202925052
vit_base,exposure,high,cold_diff,0.6022727272727273,0.36007191545743333,0.8437875103728472
vit_base,exposure,high,swinir_gan,0.5977272727272728,0.31427733844259764,0.8234323262617235
vit_base,exposure,high,ddpm,0.10227272727272728,0.03711340206185567,0.5153803068876737
vit_base,exposure,high,ddpm_path,0.5363636363636364,0.22237701692247147,0.8262366027205674
vit_base,noise,low,raw,0.7159090909090909,0.49726327312534213,0.8678152493419222
vit_base,noise,low,clahe,0.6977272727272728,0.4859273020757048,0.8750285251597564
vit_base,noise,low,genai,0.5886363636363636,0.3715927145723457,0.8500547379570527
vit_base,noise,low,cold_diff,0.5909090909090909,0.3026997775781796,0.7889311062727848
vit_base,noise,low,swinir_gan,0.5931818181818181,0.37123879598464493,0.8221594976083555
vit_base,noise,low,ddpm,0.10227272727272728,0.03711340206185567,0.5147066955769068
vit_base,noise,low,ddpm_path,0.5590909090909091,0.2753582418948743,0.8485582927275196
vit_base,noise,mid,raw,0.6659090909090909,0.395489320357257,0.8083080778089867
vit_base,noise,mid,clahe,0.6522727272727272,0.41370563828909257,0.8085985141102181
vit_base,noise,mid,genai,0.5590909090909091,0.3085101888506113,0.8107747770739409
vit_base,noise,mid,cold_diff,0.3522727272727273,0.24449926715431633,0.7161197215022281
vit_base,noise,mid,swinir_gan,0.625,0.3774567369388862,0.7553416144086074
vit_base,noise,mid,ddpm,0.10227272727272728,0.03711340206185567,0.5063113465507236
vit_base,noise,mid,ddpm_path,0.5204545454545455,0.21061145160770875,0.8073196520857643
vit_base,noise,high,raw,0.5636363636363636,0.3512358006123054,0.7443002367267637
vit_base,noise,high,clahe,0.3,0.19707902452510426,0.7059832365727466
vit_base,noise,high,genai,0.5227272727272727,0.24271284271284274,0.7925111992546426
vit_base,noise,high,cold_diff,0.08181818181818182,0.048057755119258534,0.6320254573866573
vit_base,noise,high,swinir_gan,0.5,0.29711060221965985,0.7143772630784404
vit_base,noise,high,ddpm,0.10227272727272728,0.03711340206185567,0.49734125528399503
vit_base,noise,high,ddpm_path,0.5704545454545454,0.29111481633249026,0.7657951320282452
