model,method,level,variant,pred,conf_severe,insertion_auc,deletion_auc,stability
resnet50,gradcam,clean,reference,3,0.9138948321342468,0.7198,0.2696,1.0
resnet50,gradcam,low,raw,2,0.4420052766799927,0.3394,0.1212,0.6217
resnet50,gradcam,low,genai,3,0.5308762192726135,0.5678,0.1025,0.6945
resnet50,gradcam,mid,raw,2,0.0966334119439125,0.1134,0.1244,0.4206
resnet50,gradcam,mid,genai,3,0.6760270595550537,0.5035,0.2917,0.6459
resnet50,gradcam,high,raw,0,0.05803646892309189,0.0954,0.1021,0.0098
resnet50,gradcam,high,genai,0,0.05994943901896477,0.1042,0.1029,-0.1542
efficientnet_b3,gradcam,clean,reference,0,0.1782459318637848,0.194,0.1821,1.0
efficientnet_b3,gradcam,low,raw,3,0.2855169475078583,0.2582,0.2446,0.0602
efficientnet_b3,gradcam,low,genai,3,0.32356247305870056,0.2873,0.2565,-0.0866
efficientnet_b3,gradcam,mid,raw,3,0.2982313632965088,0.2476,0.2669,0.0919
efficientnet_b3,gradcam,mid,genai,3,0.40636909008026123,0.2934,0.2883,0.0965
efficientnet_b3,gradcam,high,raw,3,0.2930050492286682,0.2346,0.2591,-0.2726
efficientnet_b3,gradcam,high,genai,3,0.2765689790248871,0.2208,0.2378,0.2075
vit_base,attention,clean,reference,3,0.8758821487426758,0.5114,0.5458,1.0
vit_base,attention,low,raw,3,0.4660748839378357,0.3178,0.1412,0.7639
vit_base,attention,low,genai,4,0.2864033281803131,0.201,0.1561,0.761
vit_base,attention,mid,raw,3,0.41075974702835083,0.3394,0.2044,0.6156
vit_base,attention,mid,genai,4,0.1844765841960907,0.2318,0.1924,0.6712
vit_base,attention,high,raw,3,0.2514970004558563,0.2567,0.1604,0.6144
vit_base,attention,high,genai,3,0.30088597536087036,0.3451,0.1936,0.6177
