degradation,level,id_code,raw_psnr,raw_ssim,clahe_psnr,clahe_ssim,genai_psnr,genai_ssim,cold_diff_psnr,cold_diff_ssim,swinir_gan_psnr,swinir_gan_ssim,ddpm_psnr,ddpm_ssim,ddpm_path_psnr,ddpm_path_ssim
blur,low,9b70f84400af,32.5065357713399,0.90397596,19.339730898359043,0.59964013,34.43182262448832,0.90970176,33.14231566542282,0.8954456,31.51219263991871,0.8830583,8.084494647921524,0.019528283,32.78224080203363,0.90180486
blur,low,3f73c91b7e32,32.38051275667535,0.9170642,20.389732989015453,0.63882345,35.56506706957907,0.8800352,35.51474672944042,0.89889127,32.243150975468204,0.8940204,8.418401743987095,0.02126599,34.61309218938389,0.89432216
blur,low,bcd503c726ba,29.547347205682293,0.84916776,20.131921450452207,0.5659829,32.37360480736324,0.7999833,32.30444512337242,0.8252159,28.814550486131335,0.8090902,8.381795248000431,0.022517072,31.32759168522759,0.8183455
blur,low,944a233fbf8e,31.038631613162444,0.87646896,20.971838075052656,0.62494415,33.31681125478455,0.83743286,33.55088450042588,0.8588457,30.56338928784417,0.849191,8.496417699614314,0.021970728,32.72163032657578,0.85239315
blur,low,b3819a805dca,33.96734878782186,0.91425896,22.168933090871008,0.7745595,34.70425682344952,0.91169816,33.862611537713285,0.89000446,33.129066590650424,0.88973427,10.561787132768076,0.031606417,33.674234448406565,0.894052
blur,low,a4359815f152,36.535690655967585,0.91128856,19.350774996055364,0.73122597,36.97402367588697,0.92072433,35.75541492882836,0.9015936,25.749863287142958,0.8313675,8.654189551529075,0.023290226,35.975329261678624,0.8998072
blur,low,72595230840c,35.05480751768034,0.89120203,20.148802729977188,0.72296005,34.94259445252344,0.8819204,35.39939122748088,0.8763823,33.96163396154146,0.86170053,9.97157669521359,0.028007576,35.02890842184658,0.8830428
blur,low,4246ed634f25,29.451926364195828,0.8740942,21.818388915309995,0.5706033,33.38968648845542,0.7864263,32.066489743888276,0.83982235,28.814759061480395,0.8364845,7.975971858186863,0.02161958,31.60858425469891,0.8363164
blur,low,e3ab63dc9a60,30.349414552271003,0.8831861,22.208720260414232,0.6655106,33.68649202442438,0.8585139,32.89776510695604,0.8700204,30.009290541888195,0.8564818,8.867654139370845,0.024617061,32.587967769628484,0.8661902
blur,low,d6f6bdfd8011,30.642620633451727,0.85364217,21.153919266679075,0.6475219,33.1110055331508,0.84255475,32.95001121316301,0.83351547,30.571399424405016,0.8369904,9.234021240102297,0.026014214,32.47017463178445,0.8442125
blur,low,881ec6186e68,29.114908520639432,0.8143367,20.76842089538339,0.52578205,31.670044227369033,0.8082537,31.73595884956432,0.7975386,28.6817143326468,0.78893566,8.359264869622326,0.022936985,30.51879254983826,0.80541736
blur,low,3f6bccf21ce8,29.720064092147172,0.82502913,20.753795687051905,0.5354106,31.324359396436748,0.79602504,31.913001232385483,0.7935408,29.32100182134068,0.7955661,7.969854577850838,0.021682441,31.11414640067712,0.81002384
blur,low,803120c5d287,30.652955888527277,0.87259626,21.165404394474074,0.65070254,35.40650322862012,0.8911981,32.9643318129354,0.8854461,30.039803227211817,0.8389232,9.726990957308226,0.028897814,32.583855287891325,0.881931
blur,low,d271d3a2b552,29.61185170153099,0.84638983,21.322238514607346,0.5828353,32.363525131548435,0.7936814,32.08707325326137,0.82169604,29.021201809810236,0.80539054,8.348687739853961,0.021713799,31.084921940267858,0.81211996
blur,low,bc73ce76ec43,31.018058362957227,0.8466614,20.607725867203875,0.5361023,32.950440634841705,0.81414866,33.19042129146353,0.8082459,30.82146993073414,0.81913453,8.203022948830856,0.021149462,32.373148323517356,0.8262231
blur,low,3ddb86eb530e,36.39707497428455,0.90498143,19.946862595251538,0.74876136,37.220471595474685,0.9147055,36.30834625618317,0.89833593,34.70583869429508,0.883847,9.224278579742771,0.025526294,36.13991392225192,0.9025192
blur,low,e2856afe62c5,30.663630781918517,0.902112,21.389256493722147,0.5779306,34.39569057813779,0.8204761,33.501074304421586,0.85526896,30.19098684538313,0.871026,8.160352120036977,0.021200003,32.962581365809704,0.86316204
blur,low,77a9538b8362,32.48769135272539,0.9083734,20.872320263305465,0.678528,35.07894063625584,0.89183164,34.53350119984079,0.8913782,30.500165438778502,0.877506,8.485611658274516,0.020969206,34.381353236521456,0.8897972
blur,low,3de8ad4151e1,34.1431710681544,0.91220075,21.64118971957364,0.6504447,35.472418726929796,0.8764942,35.98842908830584,0.88801926,33.69953505277334,0.8868172,8.451458157041719,0.020412022,35.59946569889049,0.88998646
blur,low,6363b360aefb,31.408753743692518,0.8966265,21.908490365610575,0.6498582,34.56672284893042,0.87356204,34.2147193503129,0.87148196,31.039990187458617,0.8622704,8.5473460333419,0.021669878,33.25294561352409,0.87239784
blur,low,1d14dd912671,31.276928514555106,0.91069144,21.921731754811592,0.64211434,34.356560311209414,0.87506443,34.29424805592135,0.8944848,30.850061242885197,0.8814426,8.154417701038003,0.021444751,33.20851681941984,0.8782072
blur,low,70ed3ec68b94,30.653278448332525,0.88203096,21.303517821470038,0.6368202,33.77265402952807,0.8593758,33.49395231384501,0.86711043,30.283472189820614,0.8587167,8.812690419925467,0.023280332,32.63382458559096,0.86799854
blur,low,28f98cfe3858,31.500997698615393,0.90148807,22.06398942274472,0.6706533,35.43755750035632,0.90287703,34.59123210230346,0.9016765,31.290935927947004,0.8750348,9.217800563479573,0.025434911,33.963796190960956,0.8997722
blur,low,7831ce1d895e,27.9575043121558,0.8297734,21.58133305438243,0.6306448,31.555943676420426,0.8376398,31.241265276562793,0.83395696,27.450310674912473,0.8072658,9.082009406508334,0.027975162,29.868056446307847,0.8346432
blur,low,4dd14c380696,33.152270984580845,0.9143739,21.7348660240531,0.37198338,36.32518458883102,0.90698034,35.83006837373647,0.90303445,33.01641029624952,0.899851,6.963611535038744,0.011975437,35.65383788967105,0.9206114
blur,low,58af2c054ced,30.046085336777825,0.8355298,21.054446688714815,0.56810206,32.18903991667005,0.8221782,32.56375215891293,0.8123109,29.772527992945324,0.81407136,8.335419250728446,0.022227446,31.71229183659662,0.8261259
blur,low,3ca637fddd56,36.30036650816279,0.90105724,20.442307885771477,0.53682,37.079566646381224,0.8711179,37.050585435098995,0.8652937,22.88048432264601,0.78430176,7.2865713336451075,0.013772427,36.85611738948334,0.86520034
blur,low,81d79d53ed7b,34.59684880644864,0.91925997,20.34602974307952,0.787832,36.86904147227057,0.9326687,34.63536623383467,0.9084092,33.77089603190797,0.90390444,10.074711989107659,0.028673729,34.80749049285202,0.9118554
blur,low,e01b7bac822b,33.360350785987364,0.877044,19.678577976485048,0.4761229,34.25093612198593,0.8540804,34.708759892386844,0.8466728,32.886390904383674,0.84781545,7.643982325786933,0.016940856,34.088425899437055,0.8573258
blur,low,3710ff45299c,30.291309121304025,0.83602947,20.778037566109195,0.5424232,32.50277484602832,0.8270971,32.97464672292647,0.82187337,30.100760635639606,0.8130105,8.383614877926089,0.021239283,31.81236168715703,0.830066
blur,low,ab88081e5654,35.474954886549035,0.9098384,21.14893234728426,0.3204929,36.71188815501764,0.86326677,36.732003597159185,0.8630996,31.53261625736976,0.87121296,6.678699839847097,0.010206793,36.763972799550885,0.8879432
blur,low,b835b6e31a59,30.77527926214013,0.84752446,20.39364955250701,0.54450834,32.579726208119276,0.811053,33.07096882408483,0.8066482,30.574387882283077,0.8161114,8.290421740562905,0.02175655,32.23940344796755,0.8228584
blur,low,63e041a757eb,33.27178183244099,0.8747396,20.533430636177485,0.7569537,35.11465486779729,0.89934856,33.73417882113577,0.87046576,32.495811415039114,0.85063124,11.430618900224928,0.031607486,33.30542682716361,0.87155026
blur,low,c9ea9d5eab65,32.40278081869401,0.88007265,21.12430535840383,0.69944906,34.97862477134937,0.8738423,34.5043961561398,0.8779003,32.014556047190354,0.85584736,9.353373947453958,0.026044669,34.046929039798414,0.8836854
blur,low,c5a9ebef1517,35.38584979613612,0.88741595,19.569910263325696,0.7202947,35.792490858093586,0.8950495,34.8147857865936,0.87443614,33.67279919360541,0.85926795,9.219085985007899,0.02383407,34.83258341485883,0.87906647
blur,low,3b232b394e4f,30.28185194028346,0.8001005,22.60658189398412,0.7115574,31.39859214998188,0.8124973,30.72737900258169,0.78865916,29.624227383225865,0.763645,11.186185560764216,0.032268513,29.97069549242918,0.77334017
blur,low,7c3747c0b2c3,32.29266567299895,0.91410834,22.499007898978093,0.41318694,35.587050955687346,0.9108421,34.67222732773736,0.89684343,32.05783341690035,0.89764756,7.11447804192395,0.014153288,34.13565825411092,0.9153068
blur,low,4a7dc013e802,43.13067826253481,0.9675792,23.268074694524262,0.8043162,41.97484526585449,0.9640091,39.9717789301735,0.9525407,41.05038662595885,0.95560503,7.350702077665882,0.015192489,39.13092534853775,0.93482774
blur,low,2cbfc6182ba2,31.231397473506313,0.8674834,21.979296362304858,0.62256044,34.35601286448125,0.8747203,33.513399553665565,0.8646243,30.87471183624484,0.83680224,9.373626580741726,0.026003847,33.04512119811646,0.86844116
blur,low,8bf2d925dc0c,30.21224745182417,0.8595562,21.457876786198305,0.6475892,33.06188461727375,0.85389763,32.87397269226326,0.84196955,30.154414355288072,0.8476421,8.977197649583001,0.026597386,32.18037033035604,0.8479933
blur,low,cadde4030858,29.872756965701175,0.82904434,21.464847842643255,0.62470055,32.51805027404623,0.8351032,32.53391230469458,0.8230934,29.73789747104216,0.81275934,8.918195874716908,0.02477227,31.577004426202286,0.8343749
blur,low,57469423a012,32.586587561452504,0.89496666,20.796712548563757,0.60973316,33.84960818003472,0.84537596,34.47429427590995,0.8647917,26.007861473914375,0.8312876,8.082259903495808,0.021088088,33.74924704509738,0.85911375
blur,low,885fa5fc5da8,31.618786715091915,0.8678804,20.275651388788244,0.5171234,33.35172825785409,0.8310254,33.73096690405295,0.83223605,31.389160280020086,0.8370328,8.180214683837349,0.019463744,32.98147411748732,0.8465717
blur,low,40140a925c43,29.32835964753044,0.8606525,21.224943883597376,0.57937944,32.71325219990709,0.7768893,31.71206114540546,0.8210147,28.73545060059714,0.82421046,8.197445494732968,0.022579573,31.25889655264785,0.81688786
