degradation,variant,psnr_restored,ssim_restored,psnr_raw,ssim_raw,psnr_gain,ssim_gain,acc_restored,acc_raw,acc_delta
blur,clahe,20.1611,0.5942,30.1732,0.8427,-10.0121,-0.2485,0.4364,0.4345,0.0019
blur,cold_diff,33.7939,0.8533,30.1732,0.8427,3.6206,0.0106,0.4023,0.4345,-0.0322
blur,ddpm,8.6578,0.0226,30.1732,0.8427,-21.5154,-0.8201,0.0845,0.4345,-0.35
blur,ddpm_path,32.2626,0.847,30.1732,0.8427,2.0894,0.0043,0.3636,0.4345,-0.0708
blur,genai,31.915,0.8347,30.1732,0.8427,1.7418,-0.008,0.4053,0.4345,-0.0292
blur,swinir_gan,29.1946,0.8221,30.1732,0.8427,-0.9786,-0.0206,0.4,0.4345,-0.0345
exposure,clahe,19.6709,0.6493,16.7676,0.7574,2.9033,-0.1081,0.45,0.4883,-0.0383
exposure,cold_diff,28.9675,0.8689,16.7676,0.7574,12.1999,0.1115,0.4477,0.4883,-0.0405
exposure,ddpm,8.5449,0.0224,16.7676,0.7574,-8.2227,-0.7351,0.0905,0.4883,-0.3977
exposure,ddpm_path,16.7685,0.722,16.7676,0.7574,0.0008,-0.0354,0.4011,0.4883,-0.0871
exposure,genai,16.6876,0.7401,16.7676,0.7574,-0.08,-0.0173,0.4205,0.4883,-0.0678
exposure,swinir_gan,20.3794,0.7592,16.7676,0.7574,3.6118,0.0018,0.3958,0.4883,-0.0924
noise,clahe,19.2333,0.2718,32.2373,0.6492,-13.004,-0.3774,0.4746,0.4886,-0.014
noise,cold_diff,31.2565,0.7112,32.2373,0.6492,-0.9808,0.0621,0.311,0.4886,-0.1777
noise,ddpm,8.5495,0.0229,32.2373,0.6492,-23.6878,-0.6263,0.0769,0.4886,-0.4117
noise,ddpm_path,33.3998,0.8482,32.2373,0.6492,1.1625,0.199,0.3939,0.4886,-0.0947
noise,genai,34.7512,0.8642,32.2373,0.6492,2.5139,0.215,0.4265,0.4886,-0.0621
noise,swinir_gan,32.3753,0.8109,32.2373,0.6492,0.138,0.1618,0.4246,0.4886,-0.064
