kind,variant,acc,acc_delta_vs_raw,psnr_gain,ssim_gain,mcnemar_p
jpeg,raw,0.625,0.0,0.0,0.0,1.0
jpeg,clahe,0.6,-0.025,-9.2,-0.22,0.5
jpeg,genai,0.6125,-0.0125,2.491,0.07,1.0
jpeg,swinir_gan,0.5625,-0.0625,-3.059,0.02,0.1797
jpeg,cold_diff,0.3,-0.325,-4.056,-0.116,0.0
jpeg,ddpm_path,0.575,-0.05,0.604,0.057,0.3438
motion,raw,0.725,0.0,0.0,0.0,1.0
motion,clahe,0.625,-0.1,-8.549,-0.232,0.0078
motion,genai,0.6625,-0.0625,-0.554,-0.031,0.0625
motion,swinir_gan,0.6875,-0.0375,-0.731,-0.021,0.4531
motion,cold_diff,0.6875,-0.0375,-3.627,-0.044,0.4531
motion,ddpm_path,0.5625,-0.1625,1.85,-0.014,0.0002
downscale,raw,0.775,0.0,0.0,0.0,1.0
downscale,clahe,0.6875,-0.0875,-10.204,-0.224,0.0391
downscale,genai,0.7875,0.0125,1.562,-0.027,1.0
downscale,swinir_gan,0.7375,-0.0375,-1.919,-0.029,0.375
downscale,cold_diff,0.725,-0.05,-6.509,-0.065,0.2188
downscale,ddpm_path,0.625,-0.15,0.547,-0.023,0.0005
