degradation,level,accuracy,f1_macro,kappa_qw,auc_macro_ovr
clean,none,0.8636363636363636,0.7630982516901036,0.942075485561733,0.9620644935311427
blur,low,0.6045454545454545,0.3479334706463634,0.5246058862314932,0.8759804662703374
blur,mid,0.5113636363636364,0.17883835909313617,0.18812903225806443,0.800667927681881
blur,high,0.49772727272727274,0.1499897435897436,0.06497579225352124,0.7882163686514466
exposure,low,0.7295454545454545,0.497448956687731,0.7828763898446272,0.9106350654701194
exposure,mid,0.6772727272727272,0.4579431723247513,0.7329061085307778,0.8955662266569453
exposure,high,0.5909090909090909,0.34710505981909795,0.5235448080976537,0.8713259339074811
noise,low,0.6704545454545454,0.43579880365067253,0.6599568655643422,0.8872503372252659
noise,mid,0.5727272727272728,0.30964896911620243,0.38102548756846777,0.8393756347836339
noise,high,0.5227272727272727,0.28210855519936795,0.2781290163444936,0.8066616041413086
