model,degradation,level,variant,n,accuracy,balanced_acc,f1_macro,kappa_qw,acc_ci_lo,acc_ci_hi,kappa_ci_lo,kappa_ci_hi,recall_c0,recall_c1,recall_c2,recall_c3,recall_c4
resnet50,blur,low,raw,440,0.6636363636363637,0.3906021251475797,0.3806972787869641,0.6496455358060207,0.6204545454545455,0.7068181818181818,0.5758544447701397,0.7173552872661866,1.0,0.0,0.49586776859504134,0.0,0.45714285714285713
resnet50,blur,low,clahe,440,0.6659090909090909,0.4004929969752104,0.4151779448621554,0.5907211759301791,0.6249431818181819,0.7068181818181818,0.5086224846354214,0.6590318989618921,0.9907407407407407,0.0,0.5371900826446281,0.21739130434782608,0.2571428571428571
resnet50,blur,low,genai,440,0.6613636363636364,0.355188246097337,0.34542390942390944,0.6019454667341606,0.6203977272727274,0.7,0.532962149132015,0.6703869657977127,1.0,0.022222222222222223,0.5537190082644629,0.0,0.2
resnet50,blur,low,cold_diff,440,0.6613636363636364,0.36629239886156884,0.3714023724195924,0.5808972263016432,0.6204545454545455,0.7046022727272727,0.5038624400495967,0.6537287808461915,1.0,0.022222222222222223,0.5371900826446281,0.043478260869565216,0.22857142857142856
resnet50,blur,low,swinir_gan,440,0.6022727272727273,0.34033254624163717,0.31721542371889466,0.5386041067160903,0.559034090909091,0.6477272727272727,0.4550524403136016,0.6137620076349418,0.9583333333333334,0.0,0.371900826446281,0.0,0.37142857142857144
resnet50,blur,low,ddpm,440,0.12954545454545455,0.245745769382133,0.10883771929824562,0.030568066250181603,0.09772727272727273,0.16136363636363638,-0.011377861554343704,0.07334041486946781,0.0,0.3333333333333333,0.12396694214876033,0.0,0.7714285714285715
resnet50,blur,low,ddpm_path,440,0.5636363636363636,0.2691381345926801,0.24733205593453747,0.31268840778295415,0.5181818181818182,0.6090909090909091,0.23690192263854173,0.39108407463365213,1.0,0.0,0.23140495867768596,0.0,0.11428571428571428
resnet50,blur,mid,raw,440,0.5909090909090909,0.308199784405318,0.29772969119230613,0.44902095812273424,0.5431818181818182,0.634090909090909,0.36319438062974935,0.5191734021963583,1.0,0.0,0.2975206611570248,0.043478260869565216,0.2
resnet50,blur,mid,clahe,440,0.6022727272727273,0.34386207263677615,0.3303205134457133,0.4446491278567727,0.5567613636363636,0.6455113636363636,0.3543410844681881,0.5290201402855667,0.8703703703703703,0.0,0.5619834710743802,0.08695652173913043,0.2
resnet50,blur,mid,genai,440,0.5477272727272727,0.25648785996612083,0.2332454009142261,0.23801500995558278,0.4999431818181818,0.5886363636363636,0.17177065660738194,0.3107076034427617,1.0,0.0,0.18181818181818182,0.043478260869565216,0.05714285714285714
