model,pipeline,coverage,accuracy,kappa_qw
efficientnet_b3,do_nothing,0.1,0.05555555555555555,0.0
efficientnet_b3,do_nothing,0.15,0.05555555555555555,0.0
efficientnet_b3,do_nothing,0.2,0.05176767676767677,0.0
efficientnet_b3,do_nothing,0.25,0.050505050505050504,0.0
efficientnet_b3,do_nothing,0.3,0.05723905723905724,0.0
efficientnet_b3,do_nothing,0.35,0.05844155844155844,0.0
efficientnet_b3,do_nothing,0.4,0.06060606060606061,0.0
efficientnet_b3,do_nothing,0.45,0.06453423120089787,0.0
efficientnet_b3,do_nothing,0.5,0.06212121212121212,-0.00029661228543576
efficientnet_b3,do_nothing,0.55,0.06106519742883379,-0.00027163209381209086
efficientnet_b3,do_nothing,0.6,0.059343434343434344,-0.00025259681180855864
efficientnet_b3,do_nothing,0.65,0.06060606060606061,-0.0010790696354614493
efficientnet_b3,do_nothing,0.7,0.06168831168831169,-0.0005388211982688684
efficientnet_b3,do_nothing,0.75,0.059932659932659935,-0.0013757901635074177
efficientnet_b3,do_nothing,0.8,0.058712121212121215,-0.0013263416708673148
efficientnet_b3,do_nothing,0.85,0.058229352346999406,-0.0017925184822260576
efficientnet_b3,do_nothing,0.9,0.05751964085297419,0.0008619155570341874
efficientnet_b3,do_nothing,0.95,0.05582137161084529,0.003384603218536064
efficientnet_b3,do_nothing,1.0,0.05353535353535353,0.008317519788300753
efficientnet_b3,restore_all,0.1,0.06060606060606061,0.0
efficientnet_b3,restore_all,0.15,0.06902356902356903,0.0
efficientnet_b3,restore_all,0.2,0.0707070707070707,0.0
efficientnet_b3,restore_all,0.25,0.06868686868686869,0.0008826242350432612
efficientnet_b3,restore_all,0.3,0.07154882154882154,0.0006997161642159355
efficientnet_b3,restore_all,0.35,0.06926406926406926,0.0005480279178999847
efficientnet_b3,restore_all,0.4,0.06881313131313131,0.00044458334219033
efficientnet_b3,restore_all,0.45,0.0712682379349046,0.0017293824372186517
efficientnet_b3,restore_all,0.5,0.07121212121212121,0.001435742008705554
efficientnet_b3,restore_all,0.55,0.06841138659320478,0.0013886282364228286
efficientnet_b3,restore_all,0.6,0.06691919191919192,0.0005270101209123856
efficientnet_b3,restore_all,0.65,0.06371406371406371,0.0002893243357829922
efficientnet_b3,restore_all,0.7,0.06385281385281386,0.00011392646880048485
efficientnet_b3,restore_all,0.75,0.06262626262626263,-0.0008263418957481505
efficientnet_b3,restore_all,0.8,0.06029040404040404,0.00036671409502286867
efficientnet_b3,restore_all,0.85,0.05912061794414736,0.002842173871233089
efficientnet_b3,restore_all,0.9,0.057800224466891134,0.002592478259118902
efficientnet_b3,restore_all,0.95,0.05847953216374269,0.0027985680536403157
efficientnet_b3,restore_all,1.0,0.060353535353535354,0.005967272558985215
efficientnet_b3,triage,0.1,0.05808080808080808,0.0
efficientnet_b3,triage,0.15,0.05387205387205387,0.0
efficientnet_b3,triage,0.2,0.06186868686868687,0.0
efficientnet_b3,triage,0.25,0.06363636363636363,0.0
efficientnet_b3,triage,0.3,0.06481481481481481,0.0
efficientnet_b3,triage,0.35,0.06854256854256854,0.0
efficientnet_b3,triage,0.4,0.06881313131313131,0.0
efficientnet_b3,triage,0.45,0.06565656565656566,-0.00031028080412753845
efficientnet_b3,triage,0.5,0.06262626262626263,-0.00028319637508644746
efficientnet_b3,triage,0.55,0.06198347107438017,-0.00026376299808550385
efficientnet_b3,triage,0.6,0.06228956228956229,-0.0005989083708666243
efficientnet_b3,triage,0.65,0.06254856254856254,-0.0005636346556525673
efficientnet_b3,triage,0.7,0.06204906204906205,-0.0009115976882687615
efficientnet_b3,triage,0.75,0.06127946127946128,-0.000842435433152211
efficientnet_b3,triage,0.8,0.06029040404040404,-0.0011953920852174615
efficientnet_b3,triage,0.85,0.058823529411764705,-0.0012279829346846238
efficientnet_b3,triage,0.9,0.057800224466891134,0.001468916450586888
efficientnet_b3,triage,0.95,0.05608718766613503,0.0034214324550295716
efficientnet_b3,triage,1.0,0.05378787878787879,0.008344154996818731
