model,pipeline,coverage,accuracy,kappa_qw
resnet50,do_nothing,0.1,0.9545454545454546,0.8256701232635493
resnet50,do_nothing,0.15,0.9511784511784511,0.8149532710280374
resnet50,do_nothing,0.2,0.9255050505050505,0.8358540028231498
resnet50,do_nothing,0.25,0.901010101010101,0.8037358473941583
resnet50,do_nothing,0.3,0.8863636363636364,0.7984319160144848
resnet50,do_nothing,0.35,0.8809523809523809,0.7931477516059957
resnet50,do_nothing,0.4,0.8642676767676768,0.7496996025510676
resnet50,do_nothing,0.45,0.8423120089786756,0.6820635140227933
resnet50,do_nothing,0.5,0.8141414141414142,0.6383622428398548
resnet50,do_nothing,0.55,0.788337924701561,0.6099008372375677
resnet50,do_nothing,0.6,0.7727272727272727,0.6054148567057345
resnet50,do_nothing,0.65,0.7525252525252525,0.5730205615868905
resnet50,do_nothing,0.7,0.7312409812409812,0.5494483634023419
resnet50,do_nothing,0.75,0.7141414141414142,0.5414588545706824
resnet50,do_nothing,0.8,0.6906565656565656,0.5253212648524979
resnet50,do_nothing,0.85,0.6705288175876412,0.5090752878218818
resnet50,do_nothing,0.9,0.654320987654321,0.50182871241731
resnet50,do_nothing,0.95,0.6366294524189261,0.484758791569023
resnet50,do_nothing,1.0,0.6186868686868687,0.4652858922484139
resnet50,restore_all,0.1,0.9570707070707071,0.37102922490470147
resnet50,restore_all,0.15,0.9595959595959596,0.2824931550974391
resnet50,restore_all,0.2,0.9393939393939394,0.15687732342007443
resnet50,restore_all,0.25,0.9202020202020202,0.15384615384615385
resnet50,restore_all,0.3,0.9048821548821548,0.1794545517075351
resnet50,restore_all,0.35,0.8881673881673882,0.24095135348810393
resnet50,restore_all,0.4,0.8699494949494949,0.38120174917669924
resnet50,restore_all,0.45,0.8423120089786756,0.39990850520376664
resnet50,restore_all,0.5,0.8136363636363636,0.4227359452287358
resnet50,restore_all,0.55,0.7722681359044995,0.3981872769500935
resnet50,restore_all,0.6,0.7470538720538721,0.4201321188487618
resnet50,restore_all,0.65,0.7272727272727273,0.4463145137100911
resnet50,restore_all,0.7,0.7160894660894661,0.46957962908706097
resnet50,restore_all,0.75,0.6973063973063973,0.4772055677854935
resnet50,restore_all,0.8,0.6742424242424242,0.464139920029464
resnet50,restore_all,0.85,0.6532976827094474,0.463830798099818
resnet50,restore_all,0.9,0.6355218855218855,0.4584968531231778
resnet50,restore_all,0.95,0.6174906964380649,0.4486495353456309
resnet50,restore_all,1.0,0.6017676767676767,0.4420877149895436
resnet50,triage,0.1,0.9570707070707071,0.8338762214983714
resnet50,triage,0.15,0.9562289562289562,0.7833153035296485
resnet50,triage,0.2,0.9393939393939394,0.75
resnet50,triage,0.25,0.9212121212121213,0.7433528797493775
resnet50,triage,0.3,0.8964646464646465,0.7554140127388536
resnet50,triage,0.35,0.8773448773448773,0.7345127390333014
resnet50,triage,0.4,0.8680555555555556,0.7378435517970401
resnet50,triage,0.45,0.8569023569023569,0.7401147951742906
resnet50,triage,0.5,0.843939393939394,0.7173159700102409
resnet50,triage,0.55,0.8223140495867769,0.7184141601801166
resnet50,triage,0.6,0.8038720538720538,0.7146003391864201
resnet50,triage,0.65,0.7913752913752914,0.7156993960448019
resnet50,triage,0.7,0.775974025974026,0.7007073250938027
resnet50,triage,0.75,0.7592592592592593,0.6868817597356247
resnet50,triage,0.8,0.7392676767676768,0.665139470547713
resnet50,triage,0.85,0.7156862745098039,0.6425491922483298
resnet50,triage,0.9,0.6950056116722784,0.6250081749855391
resnet50,triage,0.95,0.6767676767676768,0.6055020526901476
resnet50,triage,1.0,0.6558080808080808,0.5816364178674066
