model,pipeline,coverage,accuracy,kappa_qw
vit_base,do_nothing,0.1,0.9873737373737373,0.8629188590418166
vit_base,do_nothing,0.15,0.9882154882154882,0.9141072358146798
vit_base,do_nothing,0.2,0.9747474747474747,0.8713257348530294
vit_base,do_nothing,0.25,0.9585858585858585,0.8825781964824291
vit_base,do_nothing,0.3,0.9393939393939394,0.8471692016801695
vit_base,do_nothing,0.35,0.9011544011544012,0.830469084459666
vit_base,do_nothing,0.4,0.8680555555555556,0.8120523646503983
vit_base,do_nothing,0.45,0.8445566778900112,0.8046235581584297
vit_base,do_nothing,0.5,0.8207070707070707,0.7910375335052051
vit_base,do_nothing,0.55,0.7961432506887053,0.775965226466365
vit_base,do_nothing,0.6,0.773989898989899,0.7669193831930459
vit_base,do_nothing,0.65,0.7571872571872572,0.7513797931685054
vit_base,do_nothing,0.7,0.7391774891774892,0.7318105229577243
vit_base,do_nothing,0.75,0.7235690235690235,0.7190697077481574
vit_base,do_nothing,0.8,0.7067550505050505,0.7011449477535334
vit_base,do_nothing,0.85,0.6877599524658348,0.6816106589037814
vit_base,do_nothing,0.9,0.6705948372615039,0.6591342498126378
vit_base,do_nothing,0.95,0.6557682083997873,0.6404193605682762
vit_base,do_nothing,1.0,0.6383838383838384,0.6208949863431887
vit_base,restore_all,0.1,0.9873737373737373,0.8166666666666667
vit_base,restore_all,0.15,0.9747474747474747,0.6285510094693586
vit_base,restore_all,0.2,0.952020202020202,0.44787644787644787
vit_base,restore_all,0.25,0.9434343434343434,0.45181006111894695
vit_base,restore_all,0.3,0.9267676767676768,0.5231484104947017
vit_base,restore_all,0.35,0.9148629148629148,0.4532470005713197
vit_base,restore_all,0.4,0.8939393939393939,0.37469812372283107
vit_base,restore_all,0.45,0.8647586980920314,0.34025720966484796
vit_base,restore_all,0.5,0.8237373737373738,0.3439958049292081
vit_base,restore_all,0.55,0.7819100091827365,0.3665090662035362
vit_base,restore_all,0.6,0.7483164983164983,0.3299162301454184
vit_base,restore_all,0.65,0.7175602175602176,0.3247988190539072
vit_base,restore_all,0.7,0.6883116883116883,0.33715417696657757
vit_base,restore_all,0.75,0.6572390572390573,0.31773100303425905
vit_base,restore_all,0.8,0.6291035353535354,0.3344442704721856
vit_base,restore_all,0.85,0.606951871657754,0.35768522760103993
vit_base,restore_all,0.9,0.590347923681257,0.36689641140415574
vit_base,restore_all,0.95,0.5752259436469963,0.37623794547149814
vit_base,restore_all,1.0,0.5606060606060606,0.3875648328752549
vit_base,triage,0.1,0.9873737373737373,0.8629188590418166
vit_base,triage,0.15,0.9882154882154882,0.9141072358146798
vit_base,triage,0.2,0.9772727272727273,0.8935565624760003
vit_base,triage,0.25,0.9676767676767677,0.893216449961758
vit_base,triage,0.3,0.9528619528619529,0.8717948717948718
vit_base,triage,0.35,0.9307359307359307,0.820386974988202
vit_base,triage,0.4,0.898989898989899,0.7941480922310568
vit_base,triage,0.45,0.8647586980920314,0.7516445751628846
vit_base,triage,0.5,0.8333333333333334,0.7323209912410713
vit_base,triage,0.55,0.8080808080808081,0.719850312535695
vit_base,triage,0.6,0.7824074074074074,0.706259520915494
vit_base,triage,0.65,0.7556332556332557,0.6955169447050868
vit_base,triage,0.7,0.737012987012987,0.6841367851669092
vit_base,triage,0.75,0.7178451178451178,0.6674473089006273
vit_base,triage,0.8,0.7023358585858586,0.6564182364444713
vit_base,triage,0.85,0.6853832442067737,0.6457772133042374
vit_base,triage,0.9,0.6669472502805837,0.6270925642847738
vit_base,triage,0.95,0.6533758639021797,0.612926044340335
vit_base,triage,1.0,0.6356060606060606,0.5962527490338028
