degradation,level,accuracy,f1_macro,kappa_qw,auc_macro_ovr
clean,none,0.8772727272727273,0.7711889851485076,0.9493774448393117,0.9599413613432397
blur,low,0.6590909090909091,0.4496105741692708,0.6385913958976221,0.863392496652083
blur,mid,0.5840909090909091,0.3077977282832774,0.4620664297095233,0.8240288270838796
blur,high,0.5181818181818182,0.21084961486172,0.26471645223891316,0.7718823055432453
exposure,low,0.7340909090909091,0.5161971548690991,0.7768486677717028,0.914721833773925
exposure,mid,0.6977272727272728,0.49002716161289916,0.7133813414922329,0.8991977547652737
exposure,high,0.6068181818181818,0.39738940770387304,0.49158115469085406,0.8700673178649805
noise,low,0.7295454545454545,0.4932615718185729,0.7682663652245402,0.8874699498500052
noise,mid,0.6977272727272728,0.4029854649518703,0.6865029148685335,0.840748646525803
noise,high,0.32272727272727275,0.2112351532956826,0.15678263925496394,0.7728831916393707
