grade_before,grade_after,grade_changed,conf_before,conf_after,pixel_deviation,risk_score,hallucination_risk,id_code,kind,level
1,3,True,0.309,0.343,0.017,2,medium,1c5e6cdc7ee1,blur,high
3,3,False,0.321,0.316,0.019,0,low,1e4650743fa2,blur,high
3,3,False,0.313,0.33,0.019,0,low,1da25637859b,blur,high
3,3,False,0.311,0.322,0.019,0,low,247ac63e5510,blur,high
3,3,False,0.285,0.337,0.014,0,low,33e7bf536fc5,blur,high
3,3,False,0.325,0.32,0.017,0,low,36a1e3c780a0,blur,high
3,3,False,0.318,0.318,0.021,0,low,3810040096cb,blur,high
3,3,False,0.304,0.319,0.017,0,low,3abac0961bfd,blur,high
3,3,False,0.312,0.331,0.019,0,low,3ccf96c1dd6d,blur,high
3,3,False,0.289,0.293,0.011,0,low,44271f3cb18f,blur,high
3,3,False,0.297,0.328,0.015,0,low,467b7d9d811c,blur,high
3,3,False,0.307,0.345,0.017,0,low,49419f8d5cb4,blur,high
3,3,False,0.302,0.336,0.008,0,low,4a7dc013e802,blur,high
3,3,False,0.292,0.36,0.013,0,low,4ccfa0b4e96c,blur,high
3,3,False,0.297,0.316,0.019,0,low,52230bbef30e,blur,high
1,3,True,0.287,0.291,0.019,2,medium,540e4973829e,blur,high
3,3,False,0.301,0.307,0.017,0,low,55968f0e63c4,blur,high
3,3,False,0.282,0.326,0.017,0,low,555d0bef3c5b,blur,high
3,3,False,0.303,0.342,0.017,0,low,571bbdbf585e,blur,high
3,3,False,0.316,0.345,0.016,0,low,58af2c054ced,blur,high
3,3,False,0.298,0.324,0.015,0,low,5d6239c0fd39,blur,high
3,3,False,0.279,0.354,0.017,0,low,5c8482926a08,blur,high
3,3,False,0.319,0.356,0.015,0,low,5f4a8c074bd5,blur,high
3,3,False,0.297,0.336,0.018,0,low,6363b360aefb,blur,high
3,3,False,0.3,0.301,0.02,0,low,650fbed3fdca,blur,high
3,3,False,0.319,0.356,0.016,0,low,731b19a460ad,blur,high
1,3,True,0.282,0.339,0.012,2,medium,76cfe8967f7d,blur,high
3,3,False,0.306,0.33,0.007,0,low,7a12f49e29df,blur,high
3,3,False,0.298,0.332,0.017,0,low,7f60f2a083d3,blur,high
1,3,True,0.297,0.339,0.017,2,medium,86b3a7929bec,blur,high
3,3,False,0.307,0.335,0.016,0,low,8aa3c4681542,blur,high
3,3,False,0.314,0.334,0.013,0,low,8af50c9d0a86,blur,high
3,3,False,0.302,0.364,0.014,0,low,8ac0c44bbf24,blur,high
3,3,False,0.317,0.358,0.016,0,low,8d8aca52c07b,blur,high
3,3,False,0.305,0.322,0.007,0,low,8e7981855125,blur,high
3,3,False,0.312,0.353,0.011,0,low,904b03ad5594,blur,high
1,3,True,0.286,0.342,0.016,2,medium,97da093947e8,blur,high
3,3,False,0.291,0.343,0.009,0,low,9a326446c431,blur,high
3,3,False,0.297,0.337,0.018,0,low,a015ce4f51ad,blur,high
3,3,False,0.323,0.349,0.009,0,low,a3802934bad7,blur,high
3,3,False,0.285,0.333,0.015,0,low,a963ac561580,blur,high
3,3,False,0.324,0.348,0.017,0,low,ab686895533e,blur,high
3,3,False,0.321,0.336,0.016,0,low,b2b7ccd34cbd,blur,high
3,3,False,0.313,0.342,0.016,0,low,b72a86d61959,blur,high
3,3,False,0.302,0.342,0.016,0,low,b8dab47a260e,blur,high
3,3,False,0.308,0.324,0.017,0,low,ba0107fb1bfd,blur,high
3,3,False,0.312,0.342,0.016,0,low,bd34a0639575,blur,high
3,3,False,0.296,0.339,0.012,0,low,beeca5f14618,blur,high
1,3,True,0.305,0.303,0.01,2,medium,be3a7d9e981e,blur,high
3,3,False,0.331,0.336,0.021,0,low,bfd5c0e55420,blur,high
3,3,False,0.299,0.329,0.016,0,low,c2a58b2cfd0b,blur,high
3,3,False,0.3,0.351,0.018,0,low,c261b1aaa828,blur,high
3,3,False,0.315,0.321,0.014,0,low,c5bec7f1e5f3,blur,high
3,3,False,0.296,0.34,0.014,0,low,ca1036496659,blur,high
3,3,False,0.313,0.35,0.015,0,low,ce6f33a81ad5,blur,high
3,3,False,0.309,0.372,0.016,0,low,cff262ed8f4c,blur,high
3,3,False,0.304,0.316,0.018,0,low,d801c0a66738,blur,high
3,3,False,0.303,0.319,0.023,0,low,d844a7252f4e,blur,high
3,3,False,0.311,0.323,0.017,0,low,d99b0f7dd9b9,blur,high
1,3,True,0.278,0.354,0.013,2,medium,daad7b617f21,blur,high
3,3,False,0.283,0.337,0.007,0,low,1c5e6cdc7ee1,exposure,high
3,3,False,0.285,0.356,0.006,0,low,1e4650743fa2,exposure,high
3,3,False,0.299,0.283,0.007,0,low,1da25637859b,exposure,high
3,3,False,0.29,0.353,0.006,0,low,247ac63e5510,exposure,high
3,3,False,0.279,0.303,0.006,0,low,33e7bf536fc5,exposure,high
3,3,False,0.276,0.287,0.007,0,low,36a1e3c780a0,exposure,high
3,3,False,0.295,0.336,0.006,0,low,3810040096cb,exposure,high
3,3,False,0.253,0.261,0.006,0,low,3abac0961bfd,exposure,high
3,3,False,0.31,0.334,0.006,0,low,3ccf96c1dd6d,exposure,high
3,3,False,0.261,0.261,0.006,0,low,44271f3cb18f,exposure,high
3,3,False,0.291,0.31,0.007,0,low,467b7d9d811c,exposure,high
3,3,False,0.302,0.325,0.006,0,low,49419f8d5cb4,exposure,high
3,3,False,0.267,0.346,0.008,0,low,4a7dc013e802,exposure,high
3,3,False,0.299,0.294,0.007,0,low,4ccfa0b4e96c,exposure,high
3,3,False,0.268,0.29,0.007,0,low,52230bbef30e,exposure,high
3,1,True,0.243,0.262,0.007,2,medium,540e4973829e,exposure,high
3,3,False,0.245,0.258,0.006,0,low,555d0bef3c5b,exposure,high
3,3,False,0.273,0.289,0.006,0,low,55968f0e63c4,exposure,high
3,3,False,0.275,0.296,0.005,0,low,571bbdbf585e,exposure,high
3,3,False,0.284,0.287,0.006,0,low,58af2c054ced,exposure,high
3,3,False,0.269,0.266,0.006,0,low,5d6239c0fd39,exposure,high
3,3,False,0.293,0.322,0.007,0,low,5c8482926a08,exposure,high
3,3,False,0.26,0.265,0.006,0,low,5f4a8c074bd5,exposure,high
3,3,False,0.302,0.335,0.006,0,low,6363b360aefb,exposure,high
3,3,False,0.266,0.299,0.007,0,low,650fbed3fdca,exposure,high
3,3,False,0.323,0.336,0.006,0,low,731b19a460ad,exposure,high
3,3,False,0.281,0.305,0.006,0,low,76cfe8967f7d,exposure,high
3,3,False,0.275,0.305,0.006,0,low,7a12f49e29df,exposure,high
3,3,False,0.303,0.303,0.007,0,low,7f60f2a083d3,exposure,high
3,3,False,0.304,0.335,0.007,0,low,86b3a7929bec,exposure,high
3,3,False,0.259,0.266,0.006,0,low,8aa3c4681542,exposure,high
3,3,False,0.28,0.324,0.006,0,low,8af50c9d0a86,exposure,high
3,3,False,0.311,0.319,0.006,0,low,8ac0c44bbf24,exposure,high
3,3,False,0.326,0.316,0.006,0,low,8d8aca52c07b,exposure,high
3,3,False,0.273,0.299,0.005,0,low,8e7981855125,exposure,high
3,3,False,0.284,0.3,0.009,0,low,904b03ad5594,exposure,high
3,3,False,0.278,0.329,0.006,0,low,97da093947e8,exposure,high
3,3,False,0.286,0.301,0.006,0,low,9a326446c431,exposure,high
3,3,False,0.315,0.372,0.006,0,low,a015ce4f51ad,exposure,high
3,3,False,0.319,0.307,0.005,0,low,a3802934bad7,exposure,high
3,3,False,0.257,0.281,0.007,0,low,a963ac561580,exposure,high
3,3,False,0.26,0.271,0.005,0,low,ab686895533e,exposure,high
3,3,False,0.276,0.274,0.006,0,low,b2b7ccd34cbd,exposure,high
3,3,False,0.273,0.284,0.005,0,low,b72a86d61959,exposure,high
3,3,False,0.266,0.264,0.006,0,low,b8dab47a260e,exposure,high
3,3,False,0.25,0.268,0.006,0,low,ba0107fb1bfd,exposure,high
3,3,False,0.267,0.301,0.006,0,low,bd34a0639575,exposure,high
3,3,False,0.28,0.326,0.006,0,low,beeca5f14618,exposure,high
3,3,False,0.25,0.266,0.006,0,low,be3a7d9e981e,exposure,high
3,3,False,0.326,0.36,0.005,0,low,bfd5c0e55420,exposure,high
3,3,False,0.246,0.265,0.007,0,low,c2a58b2cfd0b,exposure,high
3,3,False,0.289,0.308,0.006,0,low,c261b1aaa828,exposure,high
3,3,False,0.263,0.284,0.006,0,low,c5bec7f1e5f3,exposure,high
3,3,False,0.294,0.326,0.006,0,low,ca1036496659,exposure,high
3,3,False,0.275,0.303,0.006,0,low,ce6f33a81ad5,exposure,high
3,3,False,0.302,0.302,0.007,0,low,cff262ed8f4c,exposure,high
3,3,False,0.291,0.323,0.007,0,low,d801c0a66738,exposure,high
3,3,False,0.318,0.347,0.006,0,low,d844a7252f4e,exposure,high
3,3,False,0.27,0.271,0.006,0,low,d99b0f7dd9b9,exposure,high
