degradation,variant,psnr_restored,ssim_restored,psnr_raw,ssim_raw,psnr_gain,ssim_gain,acc_restored,acc_raw,acc_delta
blur,clahe,20.1908,0.5854,30.2996,0.8448,-10.1089,-0.2594,0.4364,0.4345,0.0019
blur,cold_diff,34.0001,0.8592,30.2996,0.8448,3.7005,0.0144,0.4023,0.4345,-0.0322
blur,ddpm,8.5335,0.022,30.2996,0.8448,-21.7661,-0.8227,0.0852,0.4345,-0.3492
blur,ddpm_path,32.3907,0.8517,30.2996,0.8448,2.0911,0.007,0.3648,0.4345,-0.0697
blur,genai,32.0295,0.8395,30.2996,0.8448,1.7299,-0.0053,0.4053,0.4345,-0.0292
blur,swinir_gan,29.1668,0.8235,30.2996,0.8448,-1.1328,-0.0213,0.4,0.4345,-0.0345
exposure,clahe,19.8659,0.6621,16.9062,0.7567,2.9598,-0.0946,0.45,0.4883,-0.0383
exposure,cold_diff,29.1251,0.8721,16.9062,0.7567,12.219,0.1154,0.4477,0.4883,-0.0405
exposure,ddpm,8.5381,0.0223,16.9062,0.7567,-8.368,-0.7344,0.0883,0.4883,-0.4
exposure,ddpm_path,16.9108,0.7206,16.9062,0.7567,0.0046,-0.0361,0.3989,0.4883,-0.0894
exposure,genai,16.8295,0.7388,16.9062,0.7567,-0.0767,-0.0179,0.4205,0.4883,-0.0678
exposure,swinir_gan,20.1138,0.7535,16.9062,0.7567,3.2077,-0.0033,0.3958,0.4883,-0.0924
noise,clahe,19.1865,0.2709,32.2703,0.6471,-13.0838,-0.3762,0.4693,0.492,-0.0227
noise,cold_diff,31.3783,0.7179,32.2703,0.6471,-0.8919,0.0707,0.3072,0.492,-0.1848
noise,ddpm,8.518,0.0226,32.2703,0.6471,-23.7522,-0.6245,0.0879,0.492,-0.4042
noise,ddpm_path,33.5036,0.8502,32.2703,0.6471,1.2333,0.2031,0.3924,0.492,-0.0996
noise,genai,34.9543,0.8676,32.2703,0.6471,2.6841,0.2205,0.4242,0.492,-0.0678
noise,swinir_gan,32.3753,0.8061,32.2703,0.6471,0.105,0.159,0.4318,0.492,-0.0602
