epoch,train_loss,accuracy,f1_macro,kappa_qw,auc_macro_ovr,lr
1,1.7604367021235023,0.48863636363636365,0.13129770992366413,0.0,0.7206957150788156,5e-05
2,1.4383322791355413,0.48863636363636365,0.13129770992366413,0.0,0.864629841899009,0.0001
3,1.3691749485527598,0.4909090909090909,0.14816513761467892,0.008607750465991382,0.9033095553666133,9.755282581475769e-05
4,1.3324988344239026,0.5909090909090909,0.3429911187856063,0.6429717019599315,0.9203889949174335,9.045084971874738e-05
5,1.1788526878705838,0.7113636363636363,0.5385217474378076,0.8287918709490933,0.9311283522989264,7.938926261462366e-05
6,1.132907829284668,0.7659090909090909,0.6223391376576891,0.8690468510840434,0.9392977567345364,6.545084971874738e-05
7,1.0942109645285258,0.7818181818181819,0.6444250553082169,0.8893299431101029,0.9451593066865621,5e-05
8,0.9880868739616581,0.7977272727272727,0.6631065705200064,0.8991142489582116,0.9492707888854502,3.4549150281252636e-05
9,0.9895448472150942,0.8045454545454546,0.6741676222313926,0.9045138888888888,0.9524130061248878,2.061073738537635e-05
10,0.9108066251219773,0.8204545454545454,0.6920860465209724,0.9084932980566554,0.954949114874109,9.549150281252633e-06
11,0.8696610348399092,0.8227272727272728,0.6949738170703306,0.9091352832951601,0.9566930791425058,2.4471741852423237e-06
12,0.9049969399847635,0.8318181818181818,0.706087887321153,0.911310438660586,0.95779115893841,0.0
