model,degradation,level,variant,accuracy,f1_macro,auc_macro_ovr
resnet50,blur,low,raw,0.6742596810933941,0.4249349855120418,0.9025588781865531
resnet50,blur,low,clahe,0.32801822323462415,0.23061166429587482,0.6970771441813731
resnet50,blur,low,genai,0.6173120728929385,0.37789604603835947,0.8740087904943327
resnet50,blur,mid,raw,0.6150341685649203,0.3046827650772232,0.8494185753485771
resnet50,blur,mid,clahe,0.25968109339407747,0.15219784832300154,0.7220729386305541
resnet50,blur,mid,genai,0.6697038724373576,0.4235324993438895,0.848142247588038
resnet50,blur,high,raw,0.55125284738041,0.1745430294855944,0.6732787647245846
resnet50,blur,high,clahe,0.275626423690205,0.19248347953071387,0.6425310307733572
resnet50,blur,high,genai,0.5876993166287016,0.2465320655232679,0.6858555766551431
resnet50,exposure,low,raw,0.8200455580865603,0.6314025864637521,0.9284327771060905
resnet50,exposure,low,clahe,0.6309794988610479,0.3863471418797039,0.8727094334510422
resnet50,exposure,low,genai,0.7927107061503417,0.6007060480589509,0.9219313197227141
resnet50,exposure,mid,raw,0.8200455580865603,0.5942118631405946,0.9149398398227755
resnet50,exposure,mid,clahe,0.5580865603644647,0.3360646495733425,0.8168523196455088
resnet50,exposure,mid,genai,0.7608200455580866,0.557454425729535,0.9036503092633478
resnet50,exposure,high,raw,0.7608200455580866,0.491736542632074,0.9034641764511047
resnet50,exposure,high,clahe,0.3621867881548975,0.24386265895651132,0.7189637605983776
resnet50,exposure,high,genai,0.5239179954441914,0.32636933436933435,0.8170861769379864
resnet50,noise,low,raw,0.7220956719817767,0.5304859605217624,0.9149276188447836
resnet50,noise,low,clahe,0.5785876993166287,0.2891686479937789,0.8538256385134295
resnet50,noise,low,genai,0.6674259681093394,0.48263827516571445,0.8725401726830093
resnet50,noise,mid,raw,0.6082004555808656,0.3194522622819846,0.8272625063682837
resnet50,noise,mid,clahe,0.26879271070615035,0.14064577397910732,0.6646028877390266
resnet50,noise,mid,genai,0.3940774487471526,0.18737840025104463,0.6889338027598626
resnet50,noise,high,raw,0.39635535307517084,0.18868145441009762,0.7051603079625116
resnet50,noise,high,clahe,0.0888382687927107,0.050005263419236314,0.5303582902386375
resnet50,noise,high,genai,0.23690205011389523,0.12636603028308097,0.604405692352324
efficientnet_b3,blur,low,raw,0.7471526195899773,0.5410214725883298,0.8690772259216721
efficientnet_b3,blur,low,clahe,0.6309794988610479,0.37767797780581525,0.8283377329577026
efficientnet_b3,blur,low,genai,0.6765375854214123,0.42979988633638,0.8572463336471425
efficientnet_b3,blur,mid,raw,0.6013667425968109,0.3153714342949533,0.7333130116847658
efficientnet_b3,blur,mid,clahe,0.5375854214123007,0.31680505876002785,0.7382734581865124
efficientnet_b3,blur,mid,genai,0.592255125284738,0.3277078458348184,0.7007966334571611
efficientnet_b3,blur,high,raw,0.5444191343963554,0.29992120287789625,0.6427807545153956
efficientnet_b3,blur,high,clahe,0.48519362186788156,0.274991284252368,0.6630612835196739
efficientnet_b3,blur,high,genai,0.55125284738041,0.30097926760098503,0.6678254855256671
efficientnet_b3,exposure,low,raw,0.7927107061503417,0.5909629096244473,0.8991549912048153
efficientnet_b3,exposure,low,clahe,0.6697038724373576,0.4344456299212755,0.8563839001593287
efficientnet_b3,exposure,low,genai,0.7744874715261959,0.5784839422450954,0.8898986040178084
efficientnet_b3,exposure,mid,raw,0.7927107061503417,0.5575337564819179,0.8762547127053525
efficientnet_b3,exposure,mid,clahe,0.6173120728929385,0.3507444205625056,0.8210937376666753
efficientnet_b3,exposure,mid,genai,0.7289293849658315,0.48028227695097075,0.8725291802462951
efficientnet_b3,exposure,high,raw,0.7425968109339408,0.45168386589412457,0.8639399977739414
efficientnet_b3,exposure,high,clahe,0.6332574031890661,0.3492405004236134,0.8180816004854871
efficientnet_b3,exposure,high,genai,0.6446469248291572,0.36783792603442206,0.8239069075371954
efficientnet_b3,noise,low,raw,0.7767653758542141,0.5523878285107591,0.8505321917484239
efficientnet_b3,noise,low,clahe,0.5899772209567198,0.3202613789638064,0.7555194662553614
efficientnet_b3,noise,low,genai,0.7357630979498861,0.5268494098815254,0.8655845202357199
efficientnet_b3,noise,mid,raw,0.12072892938496584,0.11593893202936782,0.49557758125175644
efficientnet_b3,noise,mid,clahe,0.2870159453302961,0.16223522637367677,0.5389476765386232
efficientnet_b3,noise,mid,genai,0.48291571753986334,0.32023866067753215,0.6185658036463855
efficientnet_b3,noise,high,raw,0.10478359908883828,0.10383132723178515,0.4991228092389357
efficientnet_b3,noise,high,clahe,0.48519362186788156,0.17764017887856898,0.5523959230086382
efficientnet_b3,noise,high,genai,0.15261958997722094,0.13453339856734242,0.4997989306628378
vit_base,blur,low,raw,0.6788154897494305,0.3751015396576511,0.8407023922444324
vit_base,blur,low,clahe,0.6104783599088838,0.2676849719157878,0.8113075643955403
vit_base,blur,low,genai,0.6719817767653758,0.3668536220853823,0.8424256363036917
vit_base,blur,mid,raw,0.6583143507972665,0.36946885276051866,0.8308550845444447
vit_base,blur,mid,clahe,0.5216400911161732,0.2347729261115088,0.7718923444677005
vit_base,blur,mid,genai,0.6492027334851936,0.3588238451225977,0.835322404513232
vit_base,blur,high,raw,0.6082004555808656,0.34822392725206025,0.8052214590343925
vit_base,blur,high,clahe,0.4054669703872437,0.1859444653311134,0.7122287754580738
vit_base,blur,high,genai,0.6036446469248291,0.34228266679379826,0.8109076552253949
vit_base,exposure,low,raw,0.6309794988610479,0.3516844889042198,0.8069022994578112
vit_base,exposure,low,clahe,0.6902050113895216,0.313874343461206,0.8053982884100623
vit_base,exposure,low,genai,0.6400911161731208,0.35903127262453427,0.8028633715185631
vit_base,exposure,mid,raw,0.3826879271070615,0.17299805501528204,0.6485137959036353
vit_base,exposure,mid,clahe,0.5990888382687927,0.25616771488469603,0.7158307239741084
vit_base,exposure,mid,genai,0.39863325740318906,0.18135297538282613,0.6522656384957759
vit_base,exposure,high,raw,0.42369020501138954,0.19266564763740282,0.5964742178636268
vit_base,exposure,high,clahe,0.3462414578587699,0.15330596460747362,0.6104599669844626
vit_base,exposure,high,genai,0.428246013667426,0.19359446638221184,0.5894305479679911
vit_base,noise,low,raw,0.6856492027334852,0.373798466979245,0.8436672973636206
vit_base,noise,low,clahe,0.6514806378132119,0.28092653615041674,0.8239164294174742
vit_base,noise,low,genai,0.6810933940774487,0.3737338858741901,0.8430407217676981
vit_base,noise,mid,raw,0.6765375854214123,0.36984357577573546,0.8350659001261184
vit_base,noise,mid,clahe,0.5626423690205011,0.24861152023136865,0.7502485999623592
vit_base,noise,mid,genai,0.6605922551252847,0.36469423462152156,0.8295618480868224
vit_base,noise,high,raw,0.6332574031890661,0.3507062474530579,0.8131654653906295
vit_base,noise,high,clahe,0.46924829157175396,0.2086776583672652,0.6171856857048287
vit_base,noise,high,genai,0.5626423690205011,0.3263315423708989,0.7793572875946649
